accuracy,precision,recall,f1,mcc,mse,rmse,mae,r2,directional_accuracy,sharpe_ratio,profit_factor,cumulative_return,max_drawdown,config_id,fusion_type,fold_idx,seed,modalities,n_train,n_test,n_params,best_val_mcc,epochs_trained,lookback,deadzone,batch_size,patience,grad_clip,hidden_dim,learning_rate,alpha,elapsed_s
0.5024947573938824,0.5104610808130887,0.7259906924270202,0.5994410805775501,-0.007558542993433,0.0005715176812373,0.0239064359794033,0.0181159283965826,-0.4127358198165893,0.4889001373924362,-0.0797145203049825,0.9855195,-98.463615,-98.784065,A7,concat,2,456,"[""price""]",75969,13829,9251,-0.007558542993433,21,1,0.0,64,20,1.0,64,0.0001,0.5,244.76079511642456
0.516557734204793,0.5263871623912306,0.6538461538461539,0.5832342077255368,0.0242341818817897,0.00038524667616,0.0196277017544088,0.0138105023652315,-0.0010715723037719,0.5144517066085693,0.4148065401997874,1.0771152,8084.756,-69.317894,A7,concat,3,456,"[""price""]",89798,13770,9251,0.0242341818817897,46,1,0.0,64,20,1.0,64,0.0001,0.5,601.5385050773621
0.5202919708029197,0.5341448318547555,0.7157865634503733,0.6117674858223062,0.0190568467487806,0.0002422177931293,0.0155633477481351,0.0106734363362193,-0.0003707408905029,0.5284671532846715,0.5606174630894961,1.1083354,1777.2844,-45.782055,A7,concat,4,456,"[""price""]",103568,6850,9251,0.0190568467487806,33,1,0.0,64,20,1.0,64,0.0001,0.5,519.5922729969025
0.5250259785244198,0.5488665365560726,0.5958279009126467,0.571383918105806,0.0409869845779711,0.0010410561226308,0.0322654013244967,0.0210362896323204,0.0008798837661743,0.5405264980949082,0.813654447335068,1.170220971107483,46575888.0,-85.84342956542969,A7,concat,0,42,"[""price""]",36753,11548,9251,0.0409869845779711,41,1,0.003,64,20,1.0,64,0.0001,0.5,244.841970205307
0.5446655562373981,0.5598919980363279,0.7393841166936791,0.6372398379661964,0.0602746039449644,0.0004530355217866,0.0212846311169975,0.0158437732607126,0.000321090221405,0.5422109231173841,1.3210101544185089,1.249976634979248,4493362176.0,-40.41866683959961,A7,concat,1,42,"[""price""]",48301,11407,9251,0.0602746039449644,61,1,0.003,64,20,1.0,64,0.0001,0.5,439.4157519340515
0.4929319371727749,0.5039787798408488,0.5831202046035806,0.5406687218401708,-0.0188053534828864,0.0004913785960525,0.0221670610603329,0.0164010673761367,-0.0078703165054321,0.5086387434554974,-0.0417147986954152,0.9929490089416504,-96.8009262084961,-98.94548797607422,A7,concat,2,42,"[""price""]",59708,11460,9251,-0.0188053534828864,39,1,0.003,64,20,1.0,64,0.0001,0.5,339.1965911388397
0.511449047369341,0.5230504093063335,0.6161394011165623,0.5657915177877894,0.0160803272447154,0.0004626399313565,0.0215090662595226,0.0162843409925699,-0.0004675388336181,0.5160811047019752,0.6185429521676347,1.1082805395126345,102869.859375,-68.0923080444336,A7,concat,3,42,"[""price""]",71168,11442,9251,0.0160803272447154,36,1,0.003,64,20,1.0,64,0.0001,0.5,371.2542221546173
0.5202903946388682,0.5388919977616117,0.6746059544658494,0.5991600559962669,0.0209997090691535,0.0003079230664297,0.0175477367893923,0.0131764374673366,-0.0002549886703491,0.5271779597915115,0.4801509326068066,1.0836395025253296,654.9517822265625,-49.36685562133789,A7,concat,4,42,"[""price""]",82610,5372,9251,0.0209997090691535,31,1,0.003,64,20,1.0,64,0.0001,0.5,343.4881019592285
0.5228611014894354,0.5604013894249325,0.4732724902216427,0.5131648701183955,0.0525298397703449,0.0010449572000652,0.0323257977483194,0.0210487619042396,-0.002864122390747,0.5091790786283339,-0.0500793124472983,0.9903787970542908,-99.93415832519533,-99.9732437133789,A7,concat,0,123,"[""price""]",36753,11548,9251,0.0525298397703449,25,1,0.003,64,20,1.0,64,0.0001,0.5,618.8055009841919
0.5470325238888402,0.5637310967086033,0.7189627228525122,0.631953842866301,0.0683395959232331,0.0004530906153377,0.0212859252873281,0.0158426463603973,0.0001994967460632,0.5420355921802402,1.3355057343883665,1.2530450820922852,5603993088.0,-40.41865921020508,A7,concat,1,123,"[""price""]",48301,11407,9251,0.0683395959232331,58,1,0.003,64,20,1.0,64,0.0001,0.5,452.9158329963684
0.4859511343804537,0.4962253193960511,0.2913895993179881,0.367171554409711,-0.0203970472782111,0.0005443262634798,0.02333080074665,0.0171225816011428,-0.1164717674255371,0.5106457242582897,0.078700340356384,1.0134391784667969,-79.77069854736328,-96.45475006103516,A7,concat,2,123,"[""price""]",59708,11460,9251,-0.0203970472782111,21,1,0.003,64,20,1.0,64,0.0001,0.5,193.9079089164734
0.5012235623142807,0.5210918114143921,0.4263238030790052,0.4689680841164976,0.0076812875063198,0.0004629550385288,0.0215163899976015,0.0162893235683441,-0.0011489391326904,0.5174794616325817,0.5263117657403245,1.0914169549942017,24528.537109375,-68.09230041503906,A7,concat,3,123,"[""price""]",71168,11442,9251,0.0076812875063198,56,1,0.003,64,20,1.0,64,0.0001,0.5,609.224987745285
0.4860387192851824,0.5351796407185628,0.2504378283712785,0.3412073490813648,0.0042893135006344,0.0003082346811424,0.0175566136012186,0.0131903542205691,-0.0012673139572143,0.5266195085629188,0.4395450885352449,1.0763022899627686,494.0509643554687,-49.37887954711914,A7,concat,4,123,"[""price""]",82610,5372,9251,0.0042893135006344,23,1,0.003,64,20,1.0,64,0.0001,0.5,257.0243351459503
0.5364565292691376,0.5445341826868388,0.7801499348109517,0.6413880886983319,0.0471871959785471,0.0010920092463493,0.0330455631870503,0.0221464671194553,-0.0480208396911621,0.4778316591617596,0.1890422198792192,1.037170171737671,-78.70813751220703,-98.51441955566406,A7,concat,0,456,"[""price""]",36753,11548,9251,0.0471871959785471,25,1,0.003,64,20,1.0,64,0.0001,0.5,149.20286798477173
0.5446655562373981,0.5495934959349593,0.8764991896272285,0.6755777638975641,0.0437368800507674,0.0005188367213122,0.0227779876484349,0.0168805141001939,-0.1448774337768554,0.4634873323397913,-1.1748050232859168,0.8200405836105347,-100.0,-100.0,A7,concat,1,456,"[""price""]",48301,11407,9251,0.0437368800507674,24,1,0.003,64,20,1.0,64,0.0001,0.5,171.9883542060852
0.5022687609075044,0.5092518101367659,0.7554987212276215,0.6084031305780585,-0.0089822878991531,0.0006897159619256,0.0262624439442654,0.0201787427067756,-0.4146817922592163,0.4881326352530541,-0.1145521489275872,0.9807565212249756,-98.99594116210938,-99.1756362915039,A7,concat,2,456,"[""price""]",59708,11460,9251,-0.0089822878991531,21,1,0.003,64,20,1.0,64,0.0001,0.5,180.5314528942108
0.5174794616325817,0.5233030592734226,0.7408221959059381,0.6133482736886336,0.0221129073812268,0.0004629974719136,0.0215173760462026,0.0162769295275211,-0.0012407302856445,0.5151197343121832,0.5289721687140105,1.0918997526168823,25606.375,-68.09230041503906,A7,concat,3,456,"[""price""]",71168,11442,9251,0.0221129073812268,45,1,0.003,64,20,1.0,64,0.0001,0.5,449.7685399055481
0.5266195085629188,0.5380116959064327,0.7733800350262697,0.6345739330363558,0.0236225957579335,0.0003078648005612,0.0175460765004949,0.0131938066333532,-6.580352783203125e-05,0.5310871183916605,0.5762553953887531,1.1012061834335327,1235.10498046875,-46.6382942199707,A7,concat,4,456,"[""price""]",82610,5372,9251,0.0236225957579335,25,1,0.003,64,20,1.0,64,0.0001,0.5,283.00645303726196
